TELERIDE_NUMBER,STOP_NAME,STATUS,point
2489,Deerfoot Meadows Station (WB),ACTIVE,POINT (-114.040666314057 50.987353217699)
6818,NB Lions Park CTrain Station,ACTIVE,POINT (-114.103652558997 51.065076325589)
2355,signal B124E nb,INACTIVE,POINT (-113.977322758507 51.1028482681746)
9460,NB Falconridge BV @ 64 AV NE,ACTIVE,POINT (-113.946603093651 51.1113583340188)
4902,NB McKenzie Towne DR @ Elgin WY SE,ACTIVE,POINT (-113.969043141609 50.9067427837996)
5015,WB 3 AV NW @ 32 ST NW,ACTIVE,POINT (-114.134534998776 51.0568972628168)
4507,NB Ogden RD @ N. of 34 AV SE,ACTIVE,POINT (-114.030751211735 51.0253589517557)
6332,SB Millrise BV @ James McKevitt RD SW,ACTIVE,POINT (-114.075231550489 50.9207458493903)
3852,SB Tuscany Valley VW @ Tuscany  DR NW,ACTIVE,POINT (-114.24297555647 51.1291431635841)
8095,WB Bedford DR @ Bedwood RD NE,ACTIVE,POINT (-114.060358573354 51.1280649780904)
4729,SB Sage Hill DR @ 144 AV NW,ACTIVE,POINT (-114.141365202429 51.1824145566285)
6695,SB 11 ST SE @ 70 AV SE,ACTIVE,POINT (-114.039964083237 50.9906833524114)
6186,SB 40 ST SE @ 8 AV SE,INACTIVE,POINT (-113.975812011487 51.04481738321)
8794,NB 60 ST SE @ 90 AV SE,INACTIVE,POINT (-113.946651316839 50.972725232037)
7581,WB Kincora DR @ Kincora BA NW,ACTIVE,POINT (-114.130721882638 51.1547480304591)
8105,SB Sandstone DR @ Sanderling RI NW,ACTIVE,POINT (-114.091068692747 51.1363891076087)
8709,SB Elbow DR @ 73 AV SW,ACTIVE,POINT (-114.083276662187 50.9875010507059)
4402,NB 24 ST SW @ Anderson RD,ACTIVE,POINT (-114.117728603662 50.9508211145391)
5837,EB 26 AV SE @ 11 ST SE,ACTIVE,POINT (-114.035699490919 51.0305128729282)
2412,WB 104 AV NE @ Metis TR,ACTIVE,POINT (-113.971310726771 51.1473094046391)
3620,SB 52 ST SE @ McIvor BV,ACTIVE,POINT (-113.951451054875 50.9120844827764)
2167,SB Macleod TR @ 61 AV SW (Temp B201),INACTIVE,POINT (-114.07183053364 50.9981982079034)
8550,WB Sherwood BV @ Sherwood CM NW,ACTIVE,POINT (-114.151661445851 51.1576401731035)
8674,NB 29 ST SE @ 114 AV SE,ACTIVE,POINT (-113.995321654278 50.9512595768253)
6333,SB Riverbend DR @ Riverside CI SE,ACTIVE,POINT (-114.026025254486 50.9784286206345)
9239,SB Midvalley DR @ Midvalley CR SE,ACTIVE,POINT (-114.04222375321 50.9107567006532)
9692,NB Martha's WY @ Martha's Meadow GA NE,ACTIVE,POINT (-113.959943421323 51.1238332878736)
9443,WB Sunridge WY @ 29 ST NE,ACTIVE,POINT (-113.992660356011 51.0693051643225)
